Date,Sales,Cost Of Sales,Quantity Sold,Year of Sales,Month Sales,Sales Month Name,Sales Day Name,Sales Quarter,Weekly Sales,Sales Season,Gross Profit,Gross Profit Margin (%),Average Selling Price,Cost per Unit,Gross Profit per Unit,Gross Profit Margin per Unit (%),7-Day Average Selling Price,30-Day Average Selling Price,30-Day Selling Price Variation,7-Day Average Gross Profit Margin (%),30-Day Average Gross Profit Margin (%),30-Day Average Quantity Sold,Low Price Condition,High Sales Volume Condition,Promotion Day,Promotion Group
2014-02-12,163432.8452052823,166893.3689190051,5037,2014,2,February,Wednesday,1,Weekday,Summer,-3460.523713722796,-2.117397949828355,32.446465198586914,33.133485987493565,-0.6870207889066506,-2.117397949828357,32.65440302600386,33.73512155025368,0.7166161090340245,-3.255251848279323,0.33350356822476596,3705.9666666666667,True,True,True,4
2014-02-13,138291.63332158606,141027.43445568127,4259,2014,2,February,Thursday,1,Weekday,Summer,-2735.801134095207,-1.9782839123270182,32.470446894009406,33.11280452117428,-0.642357627164877,-1.978283912327021,32.465961980455475,33.68046239675058,0.7488311376049444,-3.584878391215529,0.18456997005425363,3769.6666666666665,True,True,True,4
2014-02-14,336901.37170009944,343519.87554694666,10381,2014,2,February,Friday,1,Weekday,Summer,-6618.503846847219,-1.964522677200268,32.4536529910509,33.09121236363998,-0.6375593725890809,-1.9645226772002768,32.46205159413538,33.62612301764785,0.7771624655284138,-3.2982083547616434,0.058905582962957094,4018.9333333333334,True,True,True,4
2014-02-15,367729.26821441203,373973.5933348522,11332,2014,2,February,Saturday,1,Weekend,Summer,-6244.32512044016,-1.6980767265985692,32.45051784454748,33.001552535726454,-0.5510346911789767,-1.6980767265985703,32.46054797323373,33.57165142975356,0.8008236094970042,-2.9224166783952823,-0.05872480391862343,4313.633333333333,True,True,True,4
2014-02-16,133913.8413873911,136797.07737015275,4127,2014,2,February,Sunday,1,Weekend,Summer,-2883.23598276166,-2.1530530025054873,32.44822907375602,33.14685664408838,-0.6986275703323628,-2.1530530025054886,32.457251417846614,33.51531703174179,0.8188313705645389,-2.5586412816023025,-0.1983428281178678,4318.933333333333,True,False,False,5
2014-02-17,150800.3470166623,152887.1063994804,4649,2014,2,February,Monday,1,Weekday,Summer,-2086.759382818098,-1.3837895098394746,32.43715788699985,32.88601987513022,-0.4488619881303748,-1.3837895098394841,32.45494243326557,33.45894465835849,0.8332604761941691,-2.0696202353661897,-0.3111096412951234,4327.466666666666,True,True,True,6
2014-02-18,55591.93033577391,53463.2442119933,1627,2014,2,February,Tuesday,1,Weekday,Summer,2128.686123780615,3.8291279164501084,34.16836529549718,32.86001488137265,1.3083504141245328,3.829127916450107,32.69640502634967,33.45975739884285,0.8339632795597783,-1.066570837407009,-0.25144323174036115,4309.166666666667,False,False,False,7
2014-02-19,106427.191838824,107736.44407595859,3281,2014,2,February,Wednesday,1,Weekday,Summer,-1309.252237134584,-1.2301858336329576,32.4374251261274,32.836465734824316,-0.3990406086969145,-1.2301858336329505,32.69511358742689,33.40365431550169,0.8445255823225809,-0.9398262493790952,-0.3551235970660578,4337.1,True,False,False,7
2014-02-20,78940.55442479794,75934.39482203958,2310,2014,2,February,Thursday,1,Weekday,Summer,3006.1596027583582,3.8081308456253002,34.17340018389521,32.872032390493324,1.3013677934018872,3.8081308456253025,32.938392628839146,33.4065278990112,0.8470744094727446,-0.11319556967162102,-0.28501656187414665,4326.166666666667,False,False,False,7
2014-02-21,317916.3178585343,322089.78895544185,9802,2014,2,February,Friday,1,Weekday,Summer,-4173.471096907568,-1.3127577486490234,32.43382145057481,32.85959895485022,-0.42577750427540906,-1.3127577486490207,32.93555955162828,33.35685906042905,0.8592900958422287,-0.02008629416430043,-0.3662001518548513,4596.1,True,True,True,8
